"cytometer","configuration","fluorophore","brightness_score","source"
"*","*","BUV563","4","BD Life Sciences Relative Fluorochrome Brightness (2020)"
"*","*","BUV615","4","BD Life Sciences Relative Fluorochrome Brightness (2020)"
"*","*","BUV661","4","BD Life Sciences Relative Fluorochrome Brightness (2020)"
"*","*","BUV737","4","BD Life Sciences Relative Fluorochrome Brightness (2020)"
"*","*","BUV395","3","BD Life Sciences Relative Fluorochrome Brightness (2020)"
"*","*","BUV496","3","BD Life Sciences Relative Fluorochrome Brightness (2020)"
"*","*","BUV805","1","BD Life Sciences Relative Fluorochrome Brightness (2020)"
"*","*","BV421","5","BD Life Sciences Relative Fluorochrome Brightness (2020)"
"*","*","BV650","5","BD Life Sciences Relative Fluorochrome Brightness (2020)"
"*","*","BV711","5","BD Life Sciences Relative Fluorochrome Brightness (2020)"
"*","*","BV480","4","BD Life Sciences Relative Fluorochrome Brightness (2020)"
"*","*","BV605","4","BD Life Sciences Relative Fluorochrome Brightness (2020)"
"*","*","BV786","4","BD Life Sciences Relative Fluorochrome Brightness (2020)"
"*","*","BV510","3","BD Life Sciences Relative Fluorochrome Brightness (2020)"
"*","*","BV750","3","BD Life Sciences Relative Fluorochrome Brightness (2020)"
"*","*","V450","1","BD Life Sciences Relative Fluorochrome Brightness (2020)"
"*","*","V500","1","BD Life Sciences Relative Fluorochrome Brightness (2020)"
"*","*","BB515","5","BD Life Sciences Relative Fluorochrome Brightness (2020)"
"*","*","BB700","5","BD Life Sciences Relative Fluorochrome Brightness (2020)"
"*","*","PE-CF594","5","BD Life Sciences Relative Fluorochrome Brightness (2020)"
"*","*","PE-Cy5","5","BD Life Sciences Relative Fluorochrome Brightness (2020)"
"*","*","PE","5","BD Life Sciences Relative Fluorochrome Brightness (2020)"
"*","*","PE-Cy7","5","BD Life Sciences Relative Fluorochrome Brightness (2020)"
"*","*","FITC","3","BD Life Sciences Relative Fluorochrome Brightness (2020)"
"*","*","Alexa Fluor 488","3","BD Life Sciences Relative Fluorochrome Brightness (2020)"
"*","*","PerCP-Cy5.5","3","BD Life Sciences Relative Fluorochrome Brightness (2020)"
"*","*","PerCP","1","BD Life Sciences Relative Fluorochrome Brightness (2020)"
"*","*","APC","4","BD Life Sciences Relative Fluorochrome Brightness (2020)"
"*","*","Alexa Fluor 647","4","BD Life Sciences Relative Fluorochrome Brightness (2020)"
"*","*","APC-R700","4","BD Life Sciences Relative Fluorochrome Brightness (2020)"
"*","*","R718","4","BD Life Sciences Relative Fluorochrome Brightness (2020)"
"*","*","Alexa Fluor 700","1","BD Life Sciences Relative Fluorochrome Brightness (2020)"
"*","*","APC-H7","1","BD Life Sciences Relative Fluorochrome Brightness (2020)"
"*","*","APC-Cy7","1","BD Life Sciences Relative Fluorochrome Brightness (2020)"
