cytometer,configuration,detector,laser,description,is_scatter,common_fluorophores
fortessa,fortessa_3l,450/50-V-A,Violet,450/50,FALSE,BV421;Alexa 405;eFluor 450;Hoechst;Pacific Blue;DAPI
fortessa,fortessa_3l,525/50-V-A,Violet,525/50,FALSE,BV510;AmCyan;V500;Qdot 525;Pacific Orange
fortessa,fortessa_3l,610/20-V-A,Violet,610/20,FALSE,BV605;Qdot 605
fortessa,fortessa_3l,670/30-V-A,Violet,670/30,FALSE,BV650;Qdot 655
fortessa,fortessa_3l,710/50-V-A,Violet,710/50,FALSE,BV711;Qdot 705
fortessa,fortessa_3l,780/60-V-A,Violet,780/60,FALSE,BV786;Qdot 800
fortessa,fortessa_3l,488/10-B-A,Blue,488/10,TRUE,SSC
fortessa,fortessa_3l,525/50-B-A,Blue,525/50,FALSE,FITC;GFP;Alexa 488;CFSE
fortessa,fortessa_3l,575/26-B-A,Blue,575/26,FALSE,PE
fortessa,fortessa_3l,610/20-B-A,Blue,610/20,FALSE,PE-CF594;Texas Red;PE-Texas Red;PI
fortessa,fortessa_3l,695/40-B-A,Blue,695/40,FALSE,PerCP-Cy5.5;PerCP;PE-Cy5;7AAD;PE-Cy5.5
fortessa,fortessa_3l,780/60-B-A,Blue,780/60,FALSE,PE-Cy7;PE-CY7
fortessa,fortessa_3l,670/30-R-A,Red,670/30,FALSE,APC;Alexa 647;eFluor 660
fortessa,fortessa_3l,730/45-R-A,Red,730/45,FALSE,Alexa Fluor 700;Alexa 700
fortessa,fortessa_3l,780/60-R-A,Red,780/60,FALSE,APC-Cy7;Alexa Fluor 750;APC-Vio 770;APC-eFluor 780;APC-H7
fortessa,fortessa_4l,450/50-V-A,Violet,450/50,FALSE,BV421;Alexa 405;eFluor 450;Pacific Blue;DAPI
fortessa,fortessa_4l,525/50-V-A,Violet,525/50,FALSE,BV510
fortessa,fortessa_4l,610/20-V-A,Violet,610/20,FALSE,BV605
fortessa,fortessa_4l,670/30-V-A,Violet,670/30,FALSE,BV650
fortessa,fortessa_4l,710/50-V-A,Violet,710/50,FALSE,BV711
fortessa,fortessa_4l,780/60-V-A,Violet,780/60,FALSE,BV786
fortessa,fortessa_4l,488/10-B-A,Blue,488/10,TRUE,SSC
fortessa,fortessa_4l,529/24-B-A,Blue,529/24,FALSE,FITC;Alexa 488;GFP
fortessa,fortessa_4l,695/40-B-A,Blue,695/40,FALSE,PerCP-Cy5.5;PerCP;PerCP eFluor 710
fortessa,fortessa_4l,582/15-YG-A,YellowGreen,582/15,FALSE,PE
fortessa,fortessa_4l,610/20-YG-A,YellowGreen,610/20,FALSE,PE-CF 594;mCherry;PE-Texas Red;PI;7AAD
fortessa,fortessa_4l,670/14-YG-A,YellowGreen,670/14,FALSE,PE-Cy5
fortessa,fortessa_4l,710/50-YG-A,YellowGreen,710/50,FALSE,PE-Cy5.5
fortessa,fortessa_4l,780/60-YG-A,YellowGreen,780/60,FALSE,PE-CY7
fortessa,fortessa_4l,670/30-R-A,Red,670/30,FALSE,APC;Alexa Fluor 647;eFluor 660
fortessa,fortessa_4l,730/45-R-A,Red,730/45,FALSE,Alexa Fluor 700
fortessa,fortessa_4l,780/60-R-A,Red,780/60,FALSE,APC-Cy7;Alexa Fluor 750;APC-eFluor 780;APC-H7
celesta,celesta_bv,530/30-B-A,Blue,530/30,FALSE,BB515;FITC;Alexa 488
celesta,celesta_bv,575/25-B-A,Blue,575/25,FALSE,PE
celesta,celesta_bv,610/20-B-A,Blue,610/20,FALSE,PE-CF594;PI
celesta,celesta_bv,695/40-B-A,Blue,695/40,FALSE,PerCP;PerCP-Cy5.5;7AAD
celesta,celesta_bv,450/40-V-A,Violet,450/40,FALSE,BV421;V450;Pacific Blue;Alexa 405
celesta,celesta_bv,525/50-V-A,Violet,525/50,FALSE,BV510;V500
celesta,celesta_bv,610/20-V-A,Violet,610/20,FALSE,BV605
celesta,celesta_bv,670/30-V-A,Violet,670/30,FALSE,BV650
celesta,celesta_bv,710/50-V-A,Violet,710/50,FALSE,BV711
celesta,celesta_bv,780/60-V-A,Violet,780/60,FALSE,BV786
