"fluorophore","aliases","excitation_laser","nominal_wavelength","is_viability"
"2-NDGB","","Blue","540",
"7-AAD","7AAD;7-Aminoactinomycin D","YG","647","TRUE"
"Alexa Fluor 350","AF350;Alexa 350;Alx350","UV","441",
"Alexa Fluor 405","AF405;Alexa 405;Alx405","Violet","422",
"Alexa Fluor 488","AF488;Alexa 488;Alx488","Blue","520",
"Alexa Fluor 514","AF514;Alexa 514;Alx514","Blue","542",
"Alexa Fluor 532","AF532;Alx532;Alexa 532","Blue","553",
"Alexa Fluor 546","AF546;Alx546;Alexa 546","YellowGreen","572",
"Alexa Fluor 555","AF555;Alexa 555;Alx555","YellowGreen","570",
"Alexa Fluor 561","AF561;Alx561;Alexa 561","YellowGreen","581",
"Alexa Fluor 568","AF568;Alexa 568;Alx568","YellowGreen","603",
"Alexa Fluor 594","AF594;Alexa 594;Alx594","YellowGreen","618",
"Alexa Fluor 610","AF610;Alexa 610;Alx610","YellowGreen","628",
"Alexa Fluor 633","AF633;Alexa 633;Alx633","Red","647",
"Alexa Fluor 647","AF647;Alexa 647;Alx647","Red","671",
"Alexa Fluor 660","AF660;Alexa 660;Alx660","Red","691",
"Alexa Fluor 680","AF680;Alexa 680;Alx680","Red","704",
"Alexa Fluor 700","AF700;Alexa 700;Alx700","Red","719",
"Alexa Fluor 750","AF750;Alx750;Alexa 750","Red","775",
"Alexa Fluor 790","AF790;Alexa 790;Alx790","Red","805",
"AMCA","","UV","450",
"AmCyan","Amcyan","Violet","498",
"APC","APC;Allophycocyanin","Red","660",
"APC-Alexa Fluor 700","APC-Alexa Fluor 700;APC-AF700","Red","720",
"APC-Alexa Fluor 750","APC-Alexa750;APC Alexa Fluor 750;APC-AF750","Red","750",
"APC-Cy5","","Red","670",
"APC-Cy5.5","APC Cy5.5;APCCy5.5","Red","700",
"APC-Cy7","APC Cy7;APCCy7","Red","774",
"APC-eFluor 780","APCe780;APC-eFluor780;APC-e780;APCeF780","Red","785",
"APC-Fire 750","APC Fire 750;APC-Fire750","Red","774",
"APC-Fire 810","APC Fire 810;APC-Fire810","Red","807",
