"cell_type","antigen","molecules_per_cell","source"
"T cells","TCR","100000","BioLegend Expression of Common Surface Molecules on Blood Cells"
"T cells","CD2","55000","BioLegend Expression of Common Surface Molecules on Blood Cells"
"T cells","CD3","124000","BioLegend Expression of Common Surface Molecules on Blood Cells"
"T cells","CD5","90000","BioLegend Expression of Common Surface Molecules on Blood Cells"
"T cells","CD7","20000","BioLegend Expression of Common Surface Molecules on Blood Cells"
"T cells","CD45","200000","BioLegend Expression of Common Surface Molecules on Blood Cells"
"CD4 T cells","CD4","100000","BioLegend Expression of Common Surface Molecules on Blood Cells"
"CD4 T cells","CD28","20000","BioLegend Expression of Common Surface Molecules on Blood Cells"
"CD4 T cells","CCR5","14000","BioLegend Expression of Common Surface Molecules on Blood Cells"
"CD8 T cells","CD8","90000","BioLegend Expression of Common Surface Molecules on Blood Cells"
"CD8 T cells","CD28","15000","BioLegend Expression of Common Surface Molecules on Blood Cells"
"B cells","CD19","18000","BioLegend Expression of Common Surface Molecules on Blood Cells"
"B cells","CD20","109000","BioLegend Expression of Common Surface Molecules on Blood Cells"
"B cells","CD21","210000","BioLegend Expression of Common Surface Molecules on Blood Cells"
"B cells","CD22","14000","BioLegend Expression of Common Surface Molecules on Blood Cells"
"B cells","HLA-DR","85000","BioLegend Expression of Common Surface Molecules on Blood Cells"
"B cells","CD11a","10000","BioLegend Expression of Common Surface Molecules on Blood Cells"
"B cells","CD40","2000","BioLegend Expression of Common Surface Molecules on Blood Cells"
"B cells","CD86","16000","BioLegend Expression of Common Surface Molecules on Blood Cells"
"B cells","CD80","2000","BioLegend Expression of Common Surface Molecules on Blood Cells"
"Dendritic cells","CD11a","27000","BioLegend Expression of Common Surface Molecules on Blood Cells"
"Dendritic cells","CD40","17000","BioLegend Expression of Common Surface Molecules on Blood Cells"
"Dendritic cells","CD80","132000","BioLegend Expression of Common Surface Molecules on Blood Cells"
"Dendritic cells","CD86","208000","BioLegend Expression of Common Surface Molecules on Blood Cells"
"Monocytes","CD14","110000","BioLegend Expression of Common Surface Molecules on Blood Cells"
"Monocytes","CD32","21000","BioLegend Expression of Common Surface Molecules on Blood Cells"
"Monocytes","CD64","13000","BioLegend Expression of Common Surface Molecules on Blood Cells"
"Neutrophils","CD14","3500","BioLegend Expression of Common Surface Molecules on Blood Cells"
"Neutrophils","CD16","225000","BioLegend Expression of Common Surface Molecules on Blood Cells"
"NK cells","CD56","10000","BioLegend Expression of Common Surface Molecules on Blood Cells"
"Red blood cells","Glycophorin A","340000","BioLegend Expression of Common Surface Molecules on Blood Cells"
"Basophils","CD23","15000","BioLegend Expression of Common Surface Molecules on Blood Cells"
